LIMIT_BAL,PAY_SEP,PAY_AUG,PAY_JUL,PAY_JUN,PAY_MAY,PAY_APR,PAY_AMTSEP,PAY_AMTAUG,PAY_AMTJUL,PAY_AMTJUN,PAY_AMTMAY,PAY_AMTAPR,IS_DEFAULT,PAID_TO_REMAINING_SEP,PAID_TO_REMAINING_AUG,PAID_TO_REMAINING_JUL,PAID_TO_REMAINING_JUN,PAID_TO_REMAINING_MAY,PAID_TO_REMAINING_APR,EAD,CREDIT_UTIL_MEAN,CREDIT_UTIL_TREND
620.0,2,2,-1,-1,-2,-2,0.0,21.359,0.0,0.0,0.0,0.0,1,0.0,0.22211476466795615,0.0,1.0,1.0,1.0,121.303,0.0642,0.042228571428571435
3720.0,-1,2,0,0,0,2,0.0,31.0,31.0,31.0,0.0,62.0,1,0.0,0.5797101449275363,0.37285607755406414,0.3056234718826406,0.0,0.6133088009812941,83.142,0.02371805555555555,-0.0020654761904761905
2790.0,0,0,0,0,0,0,47.058,46.5,31.0,31.0,31.0,155.0,0,0.05191696022435788,0.10693662222855921,0.0737517516041006,0.06977880120019538,0.0668985817500669,0.32156408772268313,906.409,0.1882462962962963,0.02060793650793651
1550.0,0,0,0,0,0,0,62.0,62.589,37.2,34.1,33.139,31.0,0,0.04256224728665673,0.04185930794269484,0.024345215150838897,0.03885003885003885,0.03691425808902241,0.0338443835245541,1456.69,0.7711133333333334,0.09486514285714287
1550.0,-1,0,-1,0,0,0,62.0,1137.111,310.0,279.0,21.359,21.049,0,0.23209933851688522,6.469312169312169,0.27905678805636946,0.42979942693409745,0.03598662906090046,0.03549213318697402,267.127,0.36446333333333336,-0.04463028571428571
1550.0,0,0,0,0,0,0,77.5,56.265,20.367,31.0,31.0,24.8,0,0.03881987577639751,0.03180360616096305,0.011404666018608527,0.05156233886769104,0.05097099750242112,0.03995205753096284,1996.4,0.7937133333333333,0.21282514285714285
15500.0,0,0,0,0,0,0,1705.0,1240.0,1178.0,627.409,426.25,426.87,0,0.1494707377060318,0.097081959016851,0.08539191518335666,0.0372963938281001,0.028467732084479804,0.02905406545921037,11406.915,0.9081983333333333,-0.048027485714285695
3100.0,0,-1,-1,0,0,-1,11.78,18.631,0.0,18.011,52.297,47.802,0,0.03199730549006399,1.5815789473684212,0.0,2.6289592760180995,1.0,2.71957671957672,368.156,0.02247666666666667,0.016726285714285714
4340.0,0,0,2,0,0,0,103.199,0.0,13.392,31.0,31.0,31.0,0,0.29499335400974747,0.0,0.035678889990089196,0.08189337482597658,0.08479606546256253,0.26888948642108096,349.835,0.07763333333333333,0.009109387755102038
620.0,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,403.217,34.782,0.0,0,1.0,1.0,1.0,1.0,0.08626124394556776,0.0,0.0,0.224325,-0.1551157142857143
6200.0,0,0,2,0,0,-1,71.486,0.372,1.55,9.3,115.878,2.046,0,0.2082543122911587,0.0012261162766935732,0.009033423667570008,0.1193792280143255,2.0448577680525166,0.017689627445725005,343.263,0.028722499999999998,0.009087
8060.0,-1,-1,-1,-1,-1,2,676.358,308.946,266.073,691.331,0.0,112.84,0,1.7794633390424923,0.45989847715736043,0.861228175797712,2.618410238346836,0.0,0.2663154814164472,380.091,0.056646794871794866,-0.0008172527472527471
19530.0,-1,0,-1,-1,-1,-1,31.0,201.5,201.5,201.5,88.97,0.0,0,0.08239268352970255,1.0,1.0,1.0,0.44153846153846155,0.0,376.247,0.0108484126984127,0.0021013605442176874
2170.0,1,2,2,0,0,2,99.2,0.0,93.0,93.0,46.5,0.0,1,0.04863074070696939,0.0,0.04566140545806,0.04492228444790512,0.04150870299139386,0.0,2039.862,0.8063928571428572,0.09679795918367347
7750.0,0,0,0,0,0,0,93.0,93.0,93.0,93.0,93.0,93.0,0,0.042320876888569135,0.044736057262153295,0.04719875395289564,0.05025462342535513,0.05274725274725275,0.05404236921746649,2197.497,0.24906066666666662,0.01271942857142857
1550.0,1,2,0,0,0,0,0.0,46.5,34.1,37.2,40.3,34.1,0,0.0,0.05141740650601583,0.03912363067292645,0.04170866497514859,0.04402153669025769,0.036410578928204956,1569.034,0.6547200000000001,0.05730628571428573
620.0,0,0,2,2,2,2,99.2,0.0,46.5,0.0,51.15,0.0,1,0.2081165452653486,0.0,0.08606839568510442,0.0,0.09215302987992181,0.0,476.656,0.884675,-0.027478571428571418
9920.0,0,0,0,-1,-1,-1,321.098,310.0,2354.14,620.0,6063.569,1550.0,0,0.04089448291654493,0.04056202745238018,0.3901100876900078,0.2854125638610612,33.40146857923497,0.25562502875781573,7851.866,0.5031322916666667,0.101345
11160.0,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5580.0,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4030.0,0,0,0,0,0,-1,93.0,47.647,31.0,62.0,28.83,1046.684,0,0.0782105427811669,0.055511412886449,0.04083466045979828,0.09701202949165696,0.07880020335536349,36.30537634408602,1189.098,0.15882435897435898,0.05245516483516483
3720.0,-1,-1,-1,-1,-1,-1,9.796,9.796,0.0,19.592,9.796,0.0,1,1.0,1.0,0.0,1.0,0.5,0.0,9.796,0.002633333333333333,-0.00015047619047619046
2170.0,2,0,0,2,2,2,62.217,111.042,0.0,111.631,0.0,56.42,1,0.04884756735707158,0.08439156555542467,0.0,0.08182975048856975,0.0,0.039554898722072504,1273.697,0.6320833333333334,-0.015098367346938781
13950.0,-2,-2,-2,-2,-2,-2,602.268,45.663,17.36,0.0,0.0,34.968,1,3.5246734397677795,0.0758496395468589,0.3801765105227427,0.0,1.0,1.0,170.872,0.009987037037037037,0.005506857142857142
2790.0,0,0,0,-1,0,0,178.46699999999998,0.0,167.338,37.2,63.395,62.0,0,1.2135328836424957,0.0,1.0,0.22230455724342352,0.32154088050314467,0.24119633381572597,147.064,0.059007407407407404,-0.006669206349206352
1550.0,0,0,0,0,0,0,61.163,44.206,31.031,44.392,32.922,30.907,0,0.041432171356572865,0.03410667304472615,0.0277878022374594,0.04943556460800221,0.03560293673941466,0.03318245357119084,1476.22,0.7143166666666666,0.0747822857142857
1860.0,1,-2,-1,-1,-1,-1,0.0,31.0,0.0,15.5,0.0,31.0,1,1.0,1.0,0.0,1.0,0.0,1.0,-3.379,-0.0010944444444444445,-0.0004476190476190476
1550.0,0,0,0,0,0,0,40.3,40.3,31.0,46.5,31.0,31.372,0,0.05767268532895612,0.08055521130251579,0.058264872108605724,0.0839020024611254,0.052823411335904076,0.05158790844675537,698.771,0.37422666666666665,0.0031577142857142893
